Aborted,Abrtd
Absolute,Abs
Acceleration,Accltn
Accelerator,Accel
Accessory,Acsry
Achieved,Achvd
Activation,Actvtn
Active,Actv
Actual,Actl
Adaptation,Adaptn
Adaptive,Adaptv
Adjustment,Adjstmt
Advanced,Advncd
Afterrun,Aftrrn
Air,Air
Airbag,Airbg
Alcohol,Alchl
Algorithm,Algo
Alive,Alv
Allowed,Allwd
Alternative,Alt
And,And
Angle,Angl
Angular,Anglr
Antilock,Antilk
Applied,Appld
Apply,Apply
Arbitrated,Arbtrd
Assist,Asst
Assistance,Asstnc
Assisted,Asstd
Automatic,Auto
Availability,Avail
Average,Avg
Axle,Axl
BAS,BAS
Backup,Backup
Balancing,Balance
Barometric,Baro
Base,Base
Battery,Batt
Before,Bfr
Blower,Blwr
Boost,Bst
Brake,Brk
Braking,Brkng
Calibration,Cal
Cancel,Cncl
Cap,Cap
Capable,Capbl
Capacity,Capcty
Cell,Cell
Change,Chng
Charge,Chrg
Chassis,Chss
Check,Chk
Circuit,Crct
Cleaning,Clng
Cleared,Clrd
Climate,Clim
Clutch,Cltch
Cmd,Cmd
Cntrl,Cntrl
Coast,Cst
Code,Code
Cold,Cld
Command,Cmd
Commanded,Cmdnd
Composition,Comp
Compressor,Compr
Conditioning,Cond
Conditions,Conds
Configuration,Conf
Constant,Const
Consumption,Cnsmptn
Control,Ctrl
Controller,Ctrlr
Converter,Convrtr
Coolant,Coolnt
Cooling,Coolng
Corrected,Corr
Count,Cnt
Counter,Cntr
Crank,Crnk
Creep,Creep
Cruise,Crz
Current,Crnt
Cut,Cut
Cycle,Cycl
Cylinder,Cyl
DTC,DTC
Data,Data
Deactivation,Deact
Decrease,Dec
Delayed,Delayd
Delivered,Delivrd
Delivery,Delivry
Denied,Deny
Deployed,Deploy
Designator,Desig
Detected,Det
Detection,Detn
Device,Dev
Diagnostic,Diag
Diagnostics,Diags
Diesel,Diesl
Differential,Diffrl
Digits,Dig
Dimming,Dim
Direction,Dir
Disable,Disbl
Disabled,Disbld
Discrete,Discrt
Display,Displ
Distance,Dist
Down,D
Driveline,Drvlin
Driven,Drv
Driver,Drvr
Duty,Duty
Dynamics,Dync
Economy,Econ
Effective,Effctv
Elapsed,Elap
Electrical,Elec
Emissions,Emiss
Enable,Enab
Enabled,Enabld
Engaged,Engag
Engine,Eng
Enhanced,Enh
Enhancement,Enhmct
Enrichment,Enrch
Estimate,Est
Estimated,Estmd
Event,Evnt
Exhaust,Exh
Extended,Ext
Failed,Fail
Failure,Failure
Fan,Fan
Fast,Fast
Fault,Flt
Field,Fld
Filler,Fillr
Filter,Filt
Final,Fin
Flow,Flow
Fluid,Flud
Front,Frnt
Frontal,Frntl
Fuel,Fuel
Full,Full
Gap,Gap
Gateway,Gatewy
Gauge,Gauge
Gear,Gear
General,Gen
Generator,Genr
Glow,Glw
Go,Go
Gradient,Grad
Granted,Grant
High,High
History,Hist
Home,Home
Hot,Hot
Hot/Stop,HotStop
Hybrid,Hybd
