Message,ID,ID Decimal,Periodic Interval,Update Time,Event Trigger,Signal,Start Byte,Start Bit,Length,Data Type,Range,Min,Max,Unit,Conversion,Scale,Offset,Transmitter
PPEI Driven Wheel Rotational Status,$0C1,193,10,,,,,,,,,,,,,,,EBCM
,,,,,,Wheel Rotational Status Left Driven,0,7,32,Packet,N/A,,,,N/A,,,
,,,,,,Wheel Rotational Status Left Driven Distance Timestamp Rollover Counter,0,7,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Left Driven Sequence Number,0,5,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Left Driven Reset Occurred,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Wheel Rotational Status Left Driven Distance Validity,0,2,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Wheel Rotational Status Left Driven Distance Pulse Counter,0,1,10,Unsigned Numeric,0 to 1023,0,1023,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Left Driven Distance Timestamp,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wheel Rotational Status Right Driven,4,7,32,Packet,N/A,,,,N/A,,,
,,,,,,Wheel Rotational Status Right Driven Distance Timestamp Rollover Counter,4,7,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Right Driven Sequence Number,4,5,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Right Driven Reset Occurred,4,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Wheel Rotational Status Right Driven Distance Validity,4,2,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Wheel Rotational Status Right Driven Distance Pulse Counter,4,1,10,Unsigned Numeric,0 to 1023,0,1023,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Right Driven Distance Timestamp,6,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI Non Driven Wheel Rotational Status,$0C5,197,10,,,,,,,,,,,,,,,EBCM
,,,,,,Wheel Rotational Status Left Non Driven,0,7,32,Packet,N/A,,,,N/A,,,
,,,,,,Wheel Rotational Status Left Non Driven Distance Timestamp Rollover Counter,0,7,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Left Non Driven Sequence Number,0,5,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Left Non Driven Reset Occurred,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Wheel Rotational Status Left Non Driven Distance Validity,0,2,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Wheel Rotational Status Left Non Driven Distance Pulse Counter,0,1,10,Unsigned Numeric,0 to 1023,0,1023,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Left Non Driven Distance Timestamp,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wheel Rotational Status Right Non Driven,4,7,32,Packet,N/A,,,,N/A,,,
,,,,,,Wheel Rotational Status Right Non Driven Distance Timestamp Rollover Counter,4,7,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Right Non Driven Sequence Number,4,5,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Right Non Driven Reset Occurred,4,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Wheel Rotational Status Right Non Driven Distance Validity,4,2,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Wheel Rotational Status Right Non Driven Distance Pulse Counter,4,1,10,Unsigned Numeric,0 to 1023,0,1023,,E = N * 1,1,,
,,,,,,Wheel Rotational Status Right Non Driven Distance Timestamp,6,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI Transmission Output Rotational Status,$0C7,199,12.5,,,,,,,,,,,,,,,TCM
,,,,,,Transmission Output Rotational Status,0,7,32,Packet,N/A,,,,N/A,,,
,,,,,,Transmission Output Rotational Status Rotation Direction,0,7,2,Enumeration,N/A,,,,"$0 = Unknown
$1 = Forward
$2 = Reverse
$3 = Undefined",,,
,,,,,,Transmission Output Rotational Status Last Transition Type,0,5,2,Enumeration,N/A,,,,"$0 = Single Edge Sensor
$1 = Rising Transition
$2 = Falling Transition
$3 = Undefined",,,
,,,,,,Transmission Output Rotational Status Reset Occurred,0,3,1,Boolean,N/A,,,,"$0 = False
$1 = True",,,
,,,,,,Transmission Output Rotational Status Validity,0,2,1,Enumeration,N/A,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,Transmission Output Rotational Status Pulse Counter,0,1,10,Unsigned Numeric,0 to 1023,0,1023,,E = N * 1,1,,
,,,,,,Transmission Output Rotational Status Timestamp,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI Engine General Status 1,$0C9,201,12.5,,,,,,,,,,,,,,,ECM
,,,,,,Engine Run Active,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain Crank Active,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain Crank Aborted,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain Run Aborted,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Power Take Off Powertrain Run Aborted,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Idle Active,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Speed Status,0,1,2,Enumeration,N/A,,,,"$0 = Normal Operation
$1 = Degraded Operation
$3 = Invalid",,,
,,,,,,Engine Speed,1,7,16,Unsigned Numeric,0.0 to 16383.8,0.0,16383.8,RPM,E = N * 0.25,1/4,,
,,,,,,Accelerator Actual Position Validity,3,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Cruise Control Active,3,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Enabled,3,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Driver Throttle Override Detected,3,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Driver Throttle Override Detection Alive Rolling Count,3,3,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
